category,gi,gl,name
cheese,18,3,"Yoplait™ No Fat yoghurt, various flavors, artificially sweetened yoghurts"
cheese,44,13,"Yoghurt, probiotic, prune"
cheese,45,13,"Yoghurt, probiotic, raspberry"
cheese,52,15,"Yoghurt, probiotic, strawberry"
cheese,26,8,"Reduced-fat yoghurt, Vaalia™, apricot & mango"
cheese,26,3,"Reduced-fat yoghurt, Vaalia™, French vanilla"
cheese,28,9,"Reduced-fat yoghurt, Extra-Lite™, strawberry"
cheese,43,14,"Reduced-fat yoghurt, strawberry"
cheese,25,9,"Reduced-fat yoghurt, Yoplait™ Lite, berry fruit flavors"
cheese,37,12,"Reduced-fat yoghurt, Yoplait™ Lite, tropical fruit flavors"
cheese,27,9,"Reduced-fat yoghurt, Yoplait™ Lite, various flavors"
cheese,32,9,"Reduced-fat yoghurt, Yoplait™ Lite, Fruit Salad flavor"
cheese,56,17,"Probiotic yoghurt drink, cranberry"
cheese,30,10,"Probiotic yoghurt drink, orange"
cheese,34,11,"Probiotic yoghurt drink, original"
cheese,24,4,Vitalise Multivitamin Cultured Milk Fruit Drink
cheese,19,4,Wildberry Yoghurt on the Go drink
cheese,38,14,"Yoghurt drink, reduced-fat, Vaalia™, tropical passionfruit"
cheese,36,5,"Ice cream, type not specified"
cheese,62,7,"Ice cream, type not specified"
cheese,68,10,"Ice cream, chocolate flavored"
cheese,80,10,"Ice cream (half vanilla, half chocolate) "
cheese,24,3,"Milk, full-fat"
cheese,40,4,"Milk, full-fat"
cheese,25,3,"Milk, full-fat + 20 g wheat bran "
cheese,60,20,"Probiotic drink, pink grapefruit "
cheese,36,3,"Yoghurt, type not specified "
cheese,45,5,"Yoghurt, Strawberry (Healthy Living Light, UK)"
cheese,51,15,"Yoghurt, low-fat, toffee "
cheese,115,10,"Tofu-based frozen dessert, chocolate with high-fructose (24%) corn syrup "
cheese,17,1,Tamar Valley No Added Sugar Natural yoghurt
cheese,17,2,ALDI Dairy Dream Diet Deli Natural yoghurt
cheese,21,2,ALDI Dairy Dream Diet Deli Raspberry yoghurt
cheese,21,2,ALDI Dairy Dream Diet Deli Passionfruit yoghurt
cheese,21,2,Tamar Valley No Added Sugar Passionfruit yoghurt
cheese,21,2,Tamar Valley No Added Sugar Raspberry yoghurt
cheese,69,16,"Oat milk, calcium enriched"
cheese,39,7,ProYo Vanilla Bean Low Fat Ice Cream
cheese,39,7,ProYo Coconut Low Fat Ice Cream
cheese,25,5,ProYo Dark Chocolate Toffee Low Fat Ice Cream
cheese,34,6,ProYo Mint Chip Low Fat Ice Cream
cheese,34,7,ProYo Dutch Chocolate Low Fat Ice Cream
cheese,32,6,ProYo Blueberry Pomegranate Low Fat Ice Cream
cheese,37,7,ProYo Mocha Low Fat Ice Cream
